P,x,a,f,R,R1,df,z
0.2,0.4,0.5/0.4,1,0.3,0.2,0.6,0.2
0.25,0.5,0.6/0.5,1,0.3,0.2,0.6,0.2
0.3,0.5,0.7/0.5,1,0.3,0.2,0.6,0.2
0.35,0.6,0.8/0.6,1,0.3,0.2,0.6,0.3
0.4,0.7,1/0.8,1,0.3,0.2,0.6,0.3
0.45,0.8,1/0.8,1,0.3,0.2,0.7,0.3
0.5,1,1.6/1,1.6/1,0.5/0.3,0.3/0.2,0.8,0.5
0.6,1.2,1.6/1,1.6/1,0.5/0.3,0.3/0.2,0.9,0.5
0.7,1.3,2/1.6,2/1.6,0.5,0.3,1,0.5
0.75,1.5,2/1.6,2/1.6,0.5,0.3,1.2,1
0.8,1.5,3/1.6,3/1.6,1/0.5,0.5/0.3,1.2,1
1,1.8,3/2,3/2,1/0.5,0.5/0.3,1.5,1
1.25,2.2,4/2.5,4/2.5,1,0.5,1.8,1.6
1.5,2.8,4/2.5,4/2.5,1,0.5,2.2,1.6
1.75,3.2,4/2.5,4/2.5,1,0.5,2.5,1.6
2,3.5,5/3,5/3,1.6/1,0.5,3,2
2.5,4.5,6/4,6/4,1.6/1,1/0.5,3.5,2.5
3,5.2,6/4,6/4,1.6/1,1/0.5,4.5,2.5
3.5,6.3,8/5,8/5,2/1.6,1/0.5,5,2.5
4,7.1,8/5,8/5,2/1.6,1/0.5,6,3
4.5,8,10/6,10/6,3/1.6,1,6.5,3
5,9,10/6,10/6,3/1.6,1,7,4
5.5,10,12/8,12/8,3/2,1,8,4
6,11,12/8,12/8,3/2,1,9,4
